Target Position_x,Target Position_y,Actual Position_x,Actual Position_y
5.02,-0.0999998989,5.02,-0.1000003815
5.0300502513,-0.0999998796,5.0300502513,-0.1000003815
5.0401005025,-0.0999998625,5.0401005025,-0.1000003815
5.0501507538,-0.0999998475,5.0501507538,-0.1000003666
5.0602010050,-0.0999998349,5.0602010050,-0.1000003666
5.0702512563,-0.0999998245,5.0702512563,-0.1000003442
5.0803015075,-0.0999998164,5.0803015075,-0.1000003293
5.0903517588,-0.0999998106,5.0903517588,-0.1000002995
5.1004020101,-0.0999998069,5.1004020101,-0.1000002846
5.1104522613,-0.0999998054,5.1104522613,-0.1000002548
5.1205025126,-0.0999998059,5.1205025126,-0.1000002250
5.1305527638,-0.0999998083,5.1305527638,-0.1000002027
5.1406030151,-0.0999998124,5.1406030151,-0.1000001729
5.1506532663,-0.0999998183,5.1506532663,-0.1000001431
5.1607035176,-0.0999998257,5.1607035176,-0.1000001132
5.1707537688,-0.0999998344,5.1707537688,-0.1000000834
5.1808040201,-0.0999998444,5.1808040201,-0.1000000611
5.1908542714,-0.0999998554,5.1908542714,-0.1000000313
5.2009045226,-0.0999998674,5.2009045226,-0.1000000015
5.2109547739,-0.0999998800,5.2109547739,-0.0999999717
5.2210050251,-0.0999998932,5.2210050251,-0.0999999493
5.2310552764,-0.0999999069,5.2310552764,-0.0999999195
5.2411055276,-0.0999999207,5.2411055276,-0.0999999121
5.2511557789,-0.0999999347,5.2511557789,-0.0999998897
5.2612060302,-0.0999999486,5.2612060302,-0.0999998748
5.2712562814,-0.0999999624,5.2712562814,-0.0999998599
5.2813065327,-0.0999999758,5.2813065327,-0.0999998599
5.2913567839,-0.0999999888,5.2913567839,-0.0999998376
5.3014070352,-0.1000000013,5.3014070352,-0.0999998301
5.3114572864,-0.1000000131,5.3114572864,-0.0999998301
5.3215075377,-0.1000000242,5.3215075377,-0.0999998152
5.3315577889,-0.1000000346,5.3315577889,-0.0999998152
5.3416080402,-0.1000000440,5.3416080402,-0.0999998152
5.3516582915,-0.1000000525,5.3516582915,-0.0999998152
5.3617085427,-0.1000000601,5.3617085427,-0.0999998152
5.371758794,-0.1000000667,5.371758794,-0.0999998152
5.3818090452,-0.1000000723,5.3818090452,-0.0999998301
5.3918592965,-0.1000000769,5.3918592965,-0.0999998301
5.4019095477,-0.1000000805,5.4019095477,-0.0999998450
5.411959799,-0.1000000832,5.411959799,-0.0999998450
5.4220100503,-0.1000000848,5.4220100503,-0.0999998674
5.4320603015,-0.1000000855,5.4320603015,-0.0999998748
5.4421105528,-0.1000000854,5.4421105528,-0.0999998748
5.4521608040,-0.1000000844,5.4521608040,-0.0999998972
5.4622110553,-0.1000000826,5.4622110553,-0.0999999046
5.4722613065,-0.1000000800,5.4722613065,-0.0999999195
5.4823115578,-0.1000000768,5.4823115578,-0.0999999344
5.4923618090,-0.100000073,5.4923618090,-0.0999999419
5.5024120603,-0.1000000686,5.5024120603,-0.0999999642
5.5124623116,-0.1000000638,5.5124623116,-0.0999999717
5.5225125628,-0.1000000586,5.5225125628,-0.0999999866
5.5325628141,-0.1000000530,5.5325628141,-0.0999999866
5.5426130653,-0.1000000472,5.5426130653,-0.1000000015
5.5526633166,-0.1000000412,5.5526633166,-0.1000000164
5.5627135678,-0.1000000351,5.5627135678,-0.1000000238
5.5727638191,-0.100000029,5.5727638191,-0.1000000238
5.5828140704,-0.1000000229,5.5828140704,-0.1000000462
5.5928643216,-0.1000000168,5.5928643216,-0.1000000536
5.6029145729,-0.1000000109,5.6029145729,-0.1000000536
5.6129648241,-0.1000000052,5.6129648241,-0.1000000536
5.6230150754,-0.0999999997,5.6230150754,-0.1000000685
5.6330653266,-0.0999999945,5.6330653266,-0.1000000685
5.6431155779,-0.0999999896,5.6431155779,-0.1000000685
5.6531658291,-0.0999999850,5.6531658291,-0.1000000685
5.6632160804,-0.0999999808,5.6632160804,-0.1000000685
5.6732663317,-0.0999999771,5.6732663317,-0.1000000685
5.6833165829,-0.0999999737,5.6833165829,-0.1000000685
5.6933668342,-0.0999999708,5.6933668342,-0.1000000685
5.7034170854,-0.0999999683,5.7034170854,-0.1000000685
5.7134673367,-0.0999999663,5.7134673367,-0.1000000685
5.7235175879,-0.0999999647,5.7235175879,-0.1000000685
5.7335678392,-0.0999999635,5.7335678392,-0.1000000685
5.7436180905,-0.0999999627,5.7436180905,-0.1000000536
5.7536683417,-0.0999999624,5.7536683417,-0.1000000536
5.763718593,-0.0999999625,5.763718593,-0.1000000536
5.7737688442,-0.0999999629,5.7737688442,-0.1000000313
5.7838190955,-0.0999999637,5.7838190955,-0.1000000238
