time,target_pos,current_pos,force
2025-04-14 13:37:20,"[ 1.05743402e-07 -1.41888501e-06  3.14871079e-06  1.05743402e-07
 -1.41888501e-06  3.14871079e-06]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[ 0.00105743 -0.01418885  0.03148711  0.00105743 -0.01418885  0.03148711]
2025-04-14 13:37:20,"[-4.86618540e-07 -2.12926249e-06  6.39285706e-06 -4.86618540e-07
 -2.12926249e-06  6.39285706e-06]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00691761  0.00623374  0.00284358 -0.00691761  0.00623374  0.00284358]
2025-04-14 13:37:20,"[-2.90652468e-06 -8.75759812e-07  7.09975105e-06 -2.90652468e-06
 -8.75759812e-07  7.09975105e-06]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.01862028  0.01907069 -0.02311116 -0.01862028  0.01907069 -0.02311116]
2025-04-14 13:37:20,"[-5.71721254e-06  3.41223355e-07  8.29780584e-06 -5.71721254e-06
  3.41223355e-07  8.29780584e-06]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00540842  0.00017398  0.00597503 -0.00540842  0.00017398  0.00597503]
2025-04-14 13:37:20,"[-8.53958219e-06  7.19765113e-07  1.15416287e-05 -8.53958219e-06
  7.19765113e-07  1.15416287e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00209388 -0.0077418   0.02188649 -0.00209388 -0.0077418   0.02188649]
2025-04-14 13:37:20,"[-1.15313676e-05  1.11542581e-06  1.51538971e-05 -1.15313676e-05
  1.11542581e-06  1.51538971e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.0039593   0.00043244  0.00646053 -0.0039593   0.00043244  0.00646053]
2025-04-14 13:37:20,"[-1.47495261e-05  2.35473593e-06  1.81416535e-05 -1.47495261e-05
  2.35473593e-06  1.81416535e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00491276  0.00874587 -0.00292359 -0.00491276  0.00874587 -0.00292359]
2025-04-14 13:37:20,"[-1.81732064e-05  3.58176441e-06  2.15385479e-05 -1.81732064e-05
  3.58176441e-06  2.15385479e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00513925  0.00073231  0.00739942 -0.00513925  0.00073231  0.00739942]
2025-04-14 13:37:20,"[-2.18296358e-05  6.22706666e-06  2.32723075e-05 -2.18296358e-05
  6.22706666e-06  2.32723075e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00585665  0.01515443 -0.01277905 -0.00585665  0.01515443 -0.01277905]
2025-04-14 13:37:20,"[-2.54549733e-05  1.05240623e-05  2.59930771e-05 -2.54549733e-05
  1.05240623e-05  2.59930771e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00370026  0.01846229  0.01306421 -0.00370026  0.01846229  0.01306421]
2025-04-14 13:37:20,"[-2.90961176e-05  1.49480175e-05  3.11720135e-05 -2.90961176e-05
  1.49480175e-05  3.11720135e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00451623  0.0044705   0.02854136 -0.00451623  0.0044705   0.02854136]
2025-04-14 13:37:20,"[-3.22659128e-05  1.84985509e-05  3.48345415e-05 -3.22659128e-05
  1.84985509e-05  3.48345415e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]","[-1.66917683e-05 -5.02743883e-03 -9.45741388e-03 -1.66917683e-05
 -5.02743883e-03 -9.45741388e-03]"
2025-04-14 13:37:20,"[-3.58821890e-05  2.16930818e-05  3.71846789e-05 -3.58821890e-05
  2.16930818e-05  3.71846789e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]","[-9.27629983e-03  6.50961061e-05 -7.80918832e-03 -9.27629983e-03
  6.50961061e-05 -7.80918832e-03]"
2025-04-14 13:37:20,"[-3.93356746e-05  2.41108967e-05  3.94361001e-05 -3.93356746e-05
  2.41108967e-05  3.94361001e-05]","[0.0, 0.0, 0.0, -5.140914254297968e-07, 6.041517508492689e-07, 6.3082268297876e-07]",[-0.00376845 -0.00400059  0.00390637 -0.00376845 -0.00400059  0.00390637]
2025-04-14 13:37:20,"[-4.26500118e-05  2.81426381e-05  4.14535681e-05 -4.26500118e-05
  2.81426381e-05  4.14535681e-05]","[0.0, 0.0, 0.0, -4.807153572983225e-07, 4.809991196452756e-07, 7.840995976948761e-07]",[-0.00426883  0.01975926  0.00272979 -0.00426883  0.01975926  0.00272979]
2025-04-14 13:37:20,"[-4.57757395e-05  3.27010875e-05  4.35350003e-05 -4.57757395e-05
  3.27010875e-05  4.35350003e-05]","[0.0, 0.0, 0.0, -5.844905217600171e-07, 2.4487184191457345e-07, 1.3596562666862155e-06]",[-0.00403607  0.01009721  0.00579373 -0.00403607  0.01009721  0.00579373]
2025-04-14 13:37:20,"[-4.87891073e-05  3.77728120e-05  4.49166464e-05 -4.87891073e-05
  3.77728120e-05  4.49166464e-05]","[0.0, 0.0, 0.0, -1.0695101764213177e-06, 1.0471320877059043e-07, 2.3149186745285988e-06]",[-0.00501684  0.01068208 -0.00160364 -0.00501684  0.01068208 -0.00160364]
2025-04-14 13:37:20,"[-5.13069084e-05  4.14309751e-05  4.65339076e-05 -5.13069084e-05
  4.14309751e-05  4.65339076e-05]","[0.0, 0.0, 0.0, -1.7885984107124386e-06, 9.217891516755117e-08, 3.3467813409515657e-06]",[-0.00142993 -0.00782247  0.00753864 -0.00142993 -0.00782247  0.00753864]
2025-04-14 13:37:20,"[-5.38180534e-05  4.39989185e-05  4.78670757e-05 -5.38180534e-05
  4.39989185e-05  4.78670757e-05]","[0.0, 0.0, 0.0, -2.6681107101467205e-06, 1.452668385582001e-07, 4.466014161152998e-06]",[-0.00632303 -0.00493002  0.00262109 -0.00632303 -0.00493002  0.00262109]
