timestamp,target_pos,current_pos,force
1744611301.2167618,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -4.26271524e-07  3.79907334e-07]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.00426272  0.00379907]
1744611301.2231452,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -2.03061374e-06  1.11628291e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.01203647  0.00379263]
1744611301.2286289,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -4.27295264e-06  2.25473127e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.0073852   0.00450054]
1744611301.2390661,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -7.09662742e-06  2.63030470e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.00736182 -0.00683405]
1744611301.2540421,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
 -1.0192111e-05  3.4056763e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.00483959  0.0044488 ]
1744611301.2693357,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -1.42542066e-05  4.39395941e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.01223307  0.00285737]
1744611301.284769,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -1.85807201e-05  5.25313798e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.00610065 -0.00035751]
1744611301.2864535,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -2.29153955e-05  6.32268197e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.00410295  0.00305856]
1744611301.3000557,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -2.80380134e-05  7.55984229e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.         0.         0.         0.        -0.0123383  0.0028432]
1744611301.3016057,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -3.36698776e-05  9.43147421e-06]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.01045757  0.00771928]
1744611301.315604,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -3.89924412e-05  1.04300018e-05]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.00308991 -0.00685208]
1744611301.3313427,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -4.46761999e-05  1.11558227e-05]","[0.0, 0.0, 0.0, 7.450601913205901e-09, -7.531774463132024e-05, 8.801498916000128e-05]",[ 0.          0.          0.          0.         -0.01017248 -0.0011848 ]
